Geneid,Chr,Start,End,Strand,Length
YAL037W,I,74020,74823,+,804
YAL016W,I,124879,126786,+,1908
YAL003W,I,142174,143160,+,987
YAL053W,I,45899,48250,+,2352
YAL031W-A,I,84669,84977,+,309
YAL019W,I,114919,118314,+,3396
YAL024C,I,101565,105872,-,4308
YAL034W-A,I,79718,80587,+,870
YAL064W-B,I,12046,12426,+,381
YAL018C,I,118564,119541,-,978
YAL037C-A,I,73426,73518,-,93
YAL056C-A,I,38696,39046,-,351
tL(CAA)A,I,181141,181254,+,114
YAL048C,I,52801,54789,-,1989
YAL025C,I,100225,101145,-,921
YAR064W,I,220198,220497,+,300
YAL031C,I,84749,87031,-,2283
YAR075W,I,228844,229317,+,474
YAL063C-A,I,22395,22685,-,291
tP(UGG)A,I,139152,139254,+,103
tA(UGC)A,I,166267,166339,+,73
YAL023C,I,106272,108551,-,2280
YAL062W,I,31567,32940,+,1374
YAR061W,I,218140,219145,+,1006
YAL026C,I,95630,99697,-,4068
YAL014C,I,128252,129019,-,768
YAL034C-B,I,79489,79842,-,354
YAR035W,I,190193,192256,+,2064
YAL010C,I,134184,135665,-,1482
YAL042W,I,61316,62563,+,1248
YAL038W,I,71786,73288,+,1503
YAR003W,I,155005,156285,+,1281
YAL045C,I,57488,57796,-,309
YAR007C,I,156754,158619,-,1866
YAL030W,I,87286,87752,+,467
YAR027W,I,183770,184477,+,708
YAL055W,I,42177,42719,+,543
YAL060W,I,35155,36303,+,1149
YAL017W,I,120225,124295,+,4071
YAR018C,I,170396,171703,-,1308
YAL069W,I,335,649,+,315
YAL063C,I,24000,27968,-,3969
YAL046C,I,57029,57385,-,357
YAR020C,I,176856,177023,-,168
snR18,I,142367,142468,+,102
YAR050W,I,203403,208016,+,4614
YAL016C-B,I,124307,124492,-,186
YAR019C,I,172211,175135,-,2925
YAR029W,I,186321,186545,+,225
YAR002W,I,152257,153876,+,1620
YAL039C,I,68716,69525,-,810
YAR030C,I,186512,186853,-,342
YAR047C,I,201467,201787,-,321
YAL022C,I,108877,110430,-,1554
YAL011W,I,132199,134076,+,1878
YAL001C,I,147594,151166,-,3573
YAL056W,I,39259,41901,+,2643
YAL066W,I,10091,10399,+,309
YAL013W,I,129270,130487,+,1218
YAL047W-A,I,54584,54913,+,330
YAL016C-A,I,124755,125069,-,315
YAL064W,I,21566,21850,+,285
YAR071W,I,225460,226863,+,1404
YAR033W,I,188107,188811,+,705
YAR069C,I,224011,224304,-,294
YAR019W-A,I,174998,175330,+,333
YAR070C,I,224563,224862,-,300
YAL054C,I,42881,45022,-,2142
YAL067C,I,7235,9016,-,1782
YAL059W,I,36509,37147,+,639
YAL005C,I,139503,141431,-,1929
YAL068W-A,I,538,792,+,255
YAL035W,I,76427,79435,+,3009
YAL008W,I,136914,137510,+,597
YAL020C,I,113614,114615,-,1002
YAL032C,I,83335,84474,-,1140
YAL015C,I,126903,128102,-,1200
YAL028W,I,92900,94486,+,1587
YAL042C-A,I,61231,61608,-,378
YAL065C,I,11565,11951,-,387
YAL009W,I,135854,136633,+,780
YAR014C,I,166742,168871,-,2130
YAL037C-B,I,72326,73300,-,975
YAR053W,I,208367,208663,+,297
YAL036C,I,75043,76152,-,1110
YAL059C-A,I,36496,36918,-,423
YAL002W,I,143707,147531,+,3825
YAL021C,I,110846,113359,-,2514
tS(AGA)A,I,182522,182603,-,82
YAL061W,I,33448,34701,+,1254
YAR023C,I,179281,179820,-,540
YAL034C,I,80710,81951,-,1242
YAL026C-A,I,95386,95823,-,438
YAR002C-A,I,154065,154724,-,660
YAL004W,I,140760,141407,+,648
YAR008W,I,158966,159793,+,828
YAL067W-A,I,2480,2707,+,228
YAL049C,I,51855,52595,-,741
YAR060C,I,217157,217492,-,336
YAL047C,I,54989,56857,-,1869
YAL029C,I,87855,92270,-,4416
YAR031W,I,186836,187732,+,897
YAL027W,I,94687,95472,+,786
YAR073W,I,227742,228953,+,1212
YAL033W,I,82706,83227,+,522
YAR015W,I,169375,170295,+,921
YAL044W-A,I,57518,57850,+,333
YAL041W,I,62840,65404,+,2565
YAL019W-A,I,114250,114819,+,570
YAR035C-A,I,192337,192417,-,81
YAL068C,I,1807,2169,-,363
YAR042W,I,192619,196185,+,3567
YAL051W,I,48564,51707,+,3144
YAL043C,I,58695,61052,-,2358
YAR066W,I,221049,221660,+,612
YAL044C,I,57950,58462,-,513
YAR068W,I,222406,222891,+,486
YAL058W,I,37464,38972,+,1509
YAL012W,I,130799,131983,+,1185
YAL064C-A,I,13363,13743,-,381
YAR028W,I,184892,185596,+,705
HRA1,I,99305,99868,+,564
YAL007C,I,137698,138345,-,648
YAL040C,I,65778,67520,-,1743
YAR010C,I,164544,165866,-,1323
YAR009C,I,160597,164187,-,3591
YBR225W,II,670627,673329,+,2703
YBR182C-A,II,595361,595555,-,195
YBL055C,II,115573,116829,-,1257
YBR293W,II,787006,788430,+,1425
YBR223W-A,II,668721,668840,+,120
YBR115C,II,469748,473926,-,4179
YBR031W,II,300166,301254,+,1089
YBL108C-A,II,7605,7733,-,129
YBR116C,II,474199,474726,-,528
YBR241C,II,702589,704055,-,1467
YBR182C,II,593506,594864,-,1359
YBR134W,II,504243,504644,+,402
YBL037W,II,147209,150286,+,3078
YBR019C,II,276253,278352,-,2100
YBR022W,II,283738,284271,+,534
YBR121C-A,II,482326,482484,-,159
YBR119W,II,479338,480323,+,986
YBL022C,II,177874,181275,-,3402
snR161,II,307185,307345,-,161
YBR243C,II,705447,706793,-,1347
YBR234C,II,685438,686592,-,1155
YBR179C,II,586547,589114,-,2568
YBR247C,II,713004,714455,-,1452
YBR124W,II,486507,486866,+,360
YBL086C,II,61202,62602,-,1401
YBL065W,II,99963,100307,+,345
YBR227C,II,673572,675134,-,1563
YBR218C,II,658707,662249,-,3543
YBR244W,II,707528,708016,+,489
YBR160W,II,560078,560974,+,897
YBL080C,II,73070,74695,-,1626
YBR083W,II,409169,410629,+,1461
YBR294W,II,789235,791814,+,2580
tI(AAU)B,II,197494,197567,+,74
YBR091C,II,427155,427484,-,330
YBR284W,II,771239,773632,+,2394
YBR158W,II,556549,558198,+,1650
YBR111W-A,II,462139,462579,+,441
YBL071C,II,90223,90531,-,309
YBR126W-B,II,490927,491070,+,144
YBR229C,II,676357,679221,-,2865
YBR042C,II,320416,321609,-,1194
YBR150C,II,541209,544493,-,3285
YBR298C,II,802631,804475,-,1845
YBR143C,II,530869,532182,-,1314
YBR014C,II,266725,267336,-,612
tS(AGA)B,II,227075,227156,+,82
YBR259W,II,730387,732453,+,2067
YBR060C,II,360652,362514,-,1863
YBR180W,II,589741,591459,+,1719
YBL034C,II,153848,158389,-,4542
YBR212W,II,647886,649904,+,2019
YBR071W,II,380411,381046,+,636
YBL074C,II,86722,87789,-,1068
YBL107C,II,9961,10551,-,591
YBR097W,II,436951,441315,+,4365
YBR136W,II,505668,512774,+,7107
YBR039W,II,315575,316510,+,936
YBL089W,II,49574,50953,+,1380
YBL067C,II,93639,95882,-,2244
YBR270C,II,742761,744398,-,1638
YBR087W,II,423765,424829,+,1065
YBR121C,II,481364,483367,-,2004
YBR026C,II,292877,294019,-,1143
YBR197C,II,615203,615856,-,654
YBR027C,II,294024,294356,-,333
YBR177C,II,584807,586162,-,1356
YBR176W,II,583720,584658,+,939
YBR230W-A,II,680362,680562,+,201
YBR090C,II,426333,427058,-,726
YBL071C-B,II,89458,89556,-,99
YBR064W,II,367763,368191,+,429
YBR044C,II,324341,326059,-,1719
YBL068W,II,92414,93394,+,981
YBR216C,II,655576,657600,-,2025
YBR271W,II,744852,746111,+,1260
YBR084W,II,411054,413981,+,2928
YBR065C,II,368584,369678,-,1095
YBR245C,II,708150,711539,-,3390
YBR085W,II,415983,416906,+,924
YBR059C,II,356861,360187,-,3327
YBR068C,II,373861,375690,-,1830
YBR285W,II,773922,774356,+,435
YBR041W,II,318266,320275,+,2010
YBR252W,II,722611,723054,+,444
YBL082C,II,69751,71127,-,1377
YBL002W,II,236492,236887,+,396
YBL098W,II,39145,40527,+,1383
YBR117C,II,474392,476437,-,2046
YBR214W,II,651415,652998,+,1584
YBR169C,II,573915,575996,-,2082
YBR207W,II,635146,636543,+,1398
YBR155W,II,549771,550928,+,1158
YBL106C,II,10847,13879,-,3033
YBR237W,II,691969,694518,+,2550
YBR193C,II,609082,609753,-,672
YBR149W,II,539987,541021,+,1035
YBR013C,II,265492,265881,-,390
YBL063W,II,101886,105221,+,3336
YBL029C-A,II,164488,164772,-,285
YBR147W,II,536575,537465,+,891
YBR246W,II,711591,712754,+,1164
YBR002C,II,241708,242568,-,861
YBR023C,II,284428,287925,-,3498
YBL088C,II,51019,59382,-,8364
YBL064C,II,100371,101156,-,786
